Height[m]  Pressure[hPa]  Temperature[°C]  Dewpoint[°C]  Wind direction[°]  Wind speed[m/s]
2440       694.52         0.08             -25.05        290.9              5.39
2450       693.66         0.01             -25.23        295.9              5.87
2460       692.79         -0.08            -25.40        301.1              6.19
2470       691.93         -0.18            -25.48        301.1              6.07
2480       691.07         -0.25            -25.51        298.5              6.17
2490       690.21         -0.32            -25.39        291.5              6.40
2500       689.35         -0.38            -25.14        287.2              6.61
2510       688.49         -0.45            -24.77        289.8              6.71
2520       687.63         -0.54            -24.44        295.9              6.82
2530       686.78         -0.64            -24.14        303.8              7.01
2540       685.92         -0.71            -23.96        306.6              7.11
2550       685.06         -0.77            -23.80        308.2              7.66
2560       684.21         -0.78            -23.70        303.2              8.34
2570       683.36         -0.77            -23.61        299.1              9.08
2580       682.50         -0.74            -23.52        293.1              9.53
2590       681.65         -0.72            -23.43        289.2              9.59
2600       680.80         -0.72            -23.31        286.5              9.51
2610       679.95         -0.74            -23.15        285.3              9.20
2620       679.11         -0.78            -23.00        285.7              8.63
2630       678.26         -0.82            -22.84        284.6              7.93
2640       677.41         -0.85            -22.69        285.0              7.39
2650       676.57         -0.87            -22.61        286.1              6.64
2660       675.72         -0.87            -22.60        287.0              5.89
2670       674.88         -0.88            -22.64        286.0              6.26
2680       674.03         -0.88            -22.72        285.0              6.64
2690       673.19         -0.87            -23.16        285.1              7.01
2700       672.35         -0.86            -23.85        285.1              7.38
2710       671.51         -0.82            -24.70        285.2              7.75
2720       670.67         -0.80            -25.19        287.1              8.52
2730       669.83         -0.80            -25.59        284.4              8.94
2740       669.00         -0.80            -25.94        282.1              9.15
2750       668.16         -0.78            -26.42        281.2              9.66
2760       667.33         -0.80            -26.77        279.4              10.10
2770       666.49         -0.81            -27.06        279.4              10.57
2780       665.66         -0.81            -27.36        280.4              11.13
2790       664.83         -0.81            -27.67        282.5              11.66
2800       664.00         -0.76            -28.00        284.2              12.07
2810       663.17         -0.72            -28.28        284.6              12.24
2820       662.35         -0.73            -28.40        285.4              12.22
2830       661.52         -0.73            -28.55        286.4              12.12
2840       660.69         -0.79            -28.74        285.9              11.90
2850       659.87         -0.75            -28.74        283.4              11.78
2860       659.04         -0.70            -28.72        280.8              11.66
2870       658.22         -0.66            -28.71        278.2              11.53
2880       657.40         -0.61            -28.70        275.6              11.41
2890       656.58         -0.88            -28.93        277.7              11.55
2900       655.76         -1.41            -29.40        286.3              11.67
2910       654.94         -1.72            -29.69        291.7              11.85
2920       654.12         -2.25            -30.16        298.6              11.91
2930       653.30         -2.37            -30.31        300.6              11.77
2940       652.48         -2.47            -30.43        299.5              11.54
2950       651.66         -2.52            -30.50        294.9              10.95
2960       650.84         -2.53            -30.56        289.6              10.40
2970       650.02         -2.55            -30.65        288.3              9.85
2980       649.21         -2.56            -30.72        289.3              9.60
2990       648.39         -2.58            -30.81        291.3              9.45
3000       647.58         -2.60            -30.89        293.3              9.43
3010       646.77         -2.62            -30.96        294.0              9.38
3020       645.96         -2.63            -31.04        292.7              9.55
3030       645.14         -2.62            -31.12        289.3              10.00
3040       644.33         -2.61            -31.18        287.3              10.62
3050       643.52         -2.61            -31.31        287.7              11.19
3060       642.71         -2.65            -31.48        291.1              11.68
3070       641.91         -2.69            -31.67        295.4              12.17
3080       641.10         -2.73            -31.83        299.0              12.42
3090       640.29         -2.76            -31.95        299.0              12.37
3100       639.49         -2.77            -32.10        295.0              12.38
3110       638.69         -2.77            -32.23        290.6              12.13
3120       637.88         -2.80            -32.41        288.6              11.74
3130       637.08         -2.86            -32.58        290.9              11.35
3140       636.28         -2.96            -32.77        295.0              10.89
3150       635.48         -3.05            -32.94        296.1              10.56
3160       634.68         -3.16            -33.16        297.5              10.43
3170       633.88         -3.19            -33.25        295.2              10.24
3180       633.09         -3.20            -33.34        292.2              9.89
3190       632.29         -3.19            -33.40        289.5              10.05
3200       631.49         -3.19            -33.49        292.1              10.55
3210       630.70         -3.32            -33.69        297.0              10.82
3220       629.90         -3.45            -33.90        301.8              11.06
3230       629.11         -3.59            -34.11        306.7              11.31
3240       628.32         -3.73            -34.32        311.4              11.49
3250       627.52         -3.78            -34.45        311.6              10.92
3260       626.73         -3.78            -34.54        309.1              10.35
3270       625.94         -3.76            -34.63        306.4              9.72
3280       625.15         -3.74            -34.73        304.4              9.32
3290       624.36         -3.72            -34.85        302.0              9.13
3300       623.58         -3.70            -34.93        301.0              9.13
3310       622.79         -3.70            -35.02        300.2              9.10
3320       622.00         -3.72            -35.06        299.4              9.43
3330       621.22         -3.76            -35.04        299.2              9.88
3340       620.43         -3.83            -34.91        301.2              10.30
3350       619.65         -3.92            -34.75        304.5              10.48
3360       618.87         -4.03            -34.55        308.9              10.59
3370       618.09         -4.11            -34.41        310.0              10.76
3380       617.31         -4.17            -34.29        308.6              10.90
3390       616.53         -4.19            -34.25        305.2              10.85
3400       615.75         -4.19            -34.29        302.3              10.75
3410       614.97         -4.18            -34.43        299.4              10.75
3420       614.19         -4.18            -34.64        299.0              10.69
3430       613.42         -4.20            -34.86        300.0              10.77
3440       612.64         -4.22            -35.10        302.0              10.94
3450       611.87         -4.28            -35.18        305.1              11.18
3460       611.09         -4.33            -35.18        307.2              11.45
3470       610.32         -4.40            -35.08        309.8              11.66
3480       609.55         -4.46            -34.88        310.0              11.73
3490       608.78         -4.50            -34.72        308.5              11.80
3500       608.01         -4.56            -34.54        308.3              12.29
3510       607.24         -4.63            -34.38        307.6              12.79
3520       606.47         -4.70            -34.21        307.4              13.02
3530       605.70         -4.76            -34.02        306.7              13.05
3540       604.93         -4.82            -33.84        306.2              13.34
3550       604.17         -4.85            -33.63        305.1              13.48
3560       603.40         -4.85            -33.40        301.2              13.47
3570       602.64         -4.81            -33.24        298.3              13.35
3580       601.88         -4.77            -33.17        296.0              13.31
3590       601.12         -4.72            -33.18        296.5              13.24
3600       600.36         -4.67            -33.24        296.8              12.84
3610       599.60         -4.66            -33.36        298.9              12.58
3620       598.84         -4.66            -33.59        303.2              12.82
3630       598.08         -4.70            -33.82        306.3              13.17
3640       597.32         -4.73            -33.89        307.3              13.12
3650       596.57         -4.76            -33.52        307.0              12.75
3660       595.81         -4.78            -32.76        307.0              12.92
3670       595.06         -4.81            -31.65        309.4              13.06
3680       594.30         -4.83            -30.97        310.8              13.17
3690       593.55         -4.86            -30.04        312.3              13.21
3700       592.80         -4.90            -28.91        313.8              13.31
3710       592.05         -4.97            -27.60        314.9              13.27
3720       591.30         -5.04            -26.43        315.9              13.24
3730       590.55         -5.12            -25.36        312.1              13.47
3740       589.81         -5.10            -24.70        308.9              13.69
3750       589.06         -5.07            -24.08        305.9              13.89
3760       588.31         -5.04            -23.49        303.0              14.09
3770       587.57         -5.02            -22.91        300.0              14.29
3780       586.83         -4.99            -22.37        297.0              14.48
3790       586.08         -4.96            -21.84        294.1              14.68
