Height[m]  Pressure[hPa]  Temperature[°C]  Dewpoint[°C]  Wind direction[°]  Wind speed[m/s]
22110      40.29          -47.80           -72.64        117.0              12.77
22120      40.23          -47.78           -72.63        116.3              13.08
22130      40.17          -47.76           -72.62        115.6              13.39
22140      40.11          -47.75           -72.63        115.3              13.41
22150      40.05          -47.76           -72.65        115.3              13.11
22160      39.99          -47.77           -72.67        115.3              12.82
22170      39.93          -47.77           -72.69        115.3              12.52
22180      39.87          -47.78           -72.72        115.2              12.23
22190      39.81          -47.79           -72.74        115.2              11.93
22200      39.75          -47.80           -72.76        115.2              11.64
22210      39.69          -47.81           -72.78        115.2              11.34
22220      39.63          -47.82           -72.81        115.2              11.05
22230      39.57          -47.83           -72.83        115.2              10.75
22240      39.51          -47.84           -72.85        115.2              10.46
22250      39.45          -47.84           -72.87        115.1              10.17
22260      39.39          -47.85           -72.90        115.1              9.87
22270      39.33          -47.86           -72.92        115.1              9.58
22280      39.27          -47.87           -72.94        115.1              9.28
22290      39.21          -47.88           -72.97        115.1              8.99
22300      39.15          -47.89           -72.99        115.1              8.69
22310      39.10          -47.90           -73.01        115.1              8.40
22320      39.04          -47.90           -73.03        115.1              8.10
22330      38.98          -47.91           -73.06        115.0              7.81
22340      38.92          -47.92           -73.08        115.0              7.51
22350      38.86          -47.93           -73.10        115.0              7.22
22360      38.80          -47.94           -73.13        115.0              6.92
22370      38.74          -47.95           -73.15        115.0              6.63
22380      38.68          -47.96           -73.17        115.0              6.33
22390      38.63          -47.97           -73.19        115.0              6.04
22400      38.57          -47.97           -73.22        115.0              5.74
22410      38.51          -47.98           -73.24        114.9              5.45
22420      38.45          -47.99           -73.26        114.9              5.15
22430      38.39          -48.00           -73.29        114.9              4.86
22440      38.34          -48.01           -73.31        114.9              4.56
22450      38.28          -48.02           -73.33        114.9              4.27
22460      38.22          -48.03           -73.36        114.9              3.97
22470      38.16          -48.04           -73.38        114.9              3.68
22480      38.11          -48.04           -73.40        114.8              3.38
22490      38.31          -48.05           -73.43        114.8              3.09
22500      38.25          -48.06           -73.45        114.8              2.79
22510      38.19          -48.07           -73.47        114.8              2.50
22520      38.14          -48.08           -73.50        114.8              2.20
22530      38.08          -48.09           -73.52        114.8              1.91
22540      38.02          -48.10           -73.55        114.8              1.62
22550      37.96          -48.10           -73.57        114.8              1.32
22560      37.91          -48.11           -73.59        114.7              1.03
22570      37.85          -48.12           -73.62        114.7              0.73
22580      37.79          -48.13           -73.64        114.7              0.44
22590      37.74          -48.14           -73.66        114.7              0.15
22600      37.68          -48.11           -73.65        114.3              0.28
22610      37.63          -48.08           -73.64        114.0              0.40
22620      37.57          -48.04           -73.63        113.6              0.53
22630      37.51          -48.01           -73.61        113.3              0.65
22640      37.46          -47.98           -73.60        112.9              0.78
22650      37.40          -47.95           -73.59        112.6              0.90
22660      37.34          -47.92           -73.58        112.2              1.03
22670      37.29          -47.89           -73.57        111.8              1.15
22680      37.23          -47.86           -73.55        111.5              1.27
22690      37.18          -47.83           -73.54        111.1              1.40
22700      37.12          -47.80           -73.53        110.8              1.52
22710      37.07          -47.77           -73.52        110.4              1.65
22720      37.01          -47.73           -73.51        110.1              1.77
22730      36.96          -47.70           -73.49        109.7              1.90
22740      36.90          -47.67           -73.48        109.4              2.02
22750      36.84          -47.64           -73.47        109.0              2.15
22760      36.79          -47.61           -73.46        108.6              2.27
22770      36.73          -47.58           -73.45        108.3              2.39
22780      36.68          -47.55           -73.44        107.9              2.52
22790      36.62          -47.52           -73.42        107.6              2.64
22800      36.57          -47.49           -73.41        107.2              2.77
22810      36.52          -47.46           -73.40        106.9              2.89
22820      36.46          -47.42           -73.39        106.5              3.02
22830      36.41          -47.39           -73.38        106.1              3.14
22840      36.35          -47.36           -73.37        105.8              3.27
22850      36.30          -47.33           -73.35        105.4              3.39
22860      36.24          -47.30           -73.34        105.1              3.51
22870      36.19          -47.27           -73.33        104.7              3.64
22880      36.13          -47.24           -73.32        104.4              3.76
22890      36.08          -47.21           -73.31        104.0              3.89
22900      36.03          -47.18           -73.30        103.7              4.01
22910      35.97          -47.14           -73.28        103.3              4.14
22920      35.92          -47.11           -73.27        102.9              4.26
22930      35.86          -47.08           -73.26        102.6              4.39
22940      35.81          -47.05           -73.25        102.2              4.51
22950      35.76          -47.02           -73.24        101.9              4.64
22960      35.70          -46.99           -73.23        101.5              4.76
22970      35.65          -46.96           -73.22        101.2              4.88
22980      35.60          -46.93           -73.21        100.8              5.01
22990      35.54          -46.90           -73.19        100.5              5.13
23000      35.49          -46.87           -73.18        100.1              5.26
23010      35.44          -46.83           -73.17        99.7               5.38
23020      35.38          -46.80           -73.16        99.4               5.51
23030      35.33          -46.77           -73.15        99.0               5.63
23040      35.28          -46.74           -73.14        98.7               5.76
23050      35.23          -46.71           -73.13        98.3               5.88
23060      35.17          -46.68           -73.12        98.0               6.00
23070      35.12          -46.65           -73.11        97.6               6.13
23080      35.07          -46.62           -73.10        97.3               6.25
23090      35.02          -46.59           -73.08        96.9               6.38
23100      34.96          -46.55           -73.07        96.5               6.50
23110      34.91          -46.52           -73.06        96.2               6.63
23120      34.86          -46.49           -73.05        95.8               6.75
23130      34.81          -46.46           -73.04        95.5               6.88
23140      34.75          -46.43           -73.03        95.1               7.00
23150      34.70          -46.40           -73.02        94.8               7.12
23160      34.65          -46.37           -73.01        94.4               7.25
23170      34.60          -46.34           -73.00        94.0               7.37
23180      34.55          -46.31           -72.99        93.7               7.50
23190      34.50          -46.28           -72.98        93.3               7.62
23200      34.44          -46.24           -72.97        93.0               7.75
23210      34.39          -46.21           -72.96        92.6               7.87
23220      34.34          -46.16           -72.94        90.5               8.06
23230      34.29          -46.09           -72.91        85.5               8.37
23240      34.24          -46.01           -72.89        80.5               8.68
23250      34.19          -45.93           -72.86        75.5               8.99
23260      34.14          -45.86           -72.84        72.9               9.32
23270      34.08          -45.80           -72.81        73.2               9.67
23280      34.03          -45.74           -72.79        73.4               10.02
23290      33.98          -45.69           -72.76        73.7               10.37
23300      33.93          -45.63           -72.73        73.9               10.73
23310      33.88          -45.58           -72.71        74.2               11.08
23320      33.83          -45.52           -72.68        74.4               11.43
23330      33.78          -45.46           -72.66        74.7               11.78
23340      33.73          -45.41           -72.63        74.9               12.13
23350      33.68          -45.31           -72.56        79.3               12.26
23360      33.63          -45.20           -72.48        85.6               12.35
23370      33.58          -45.10           -72.41        94.2               12.51
23380      33.53          -45.05           -72.38        98.5               12.60
23390      33.48          -45.03           -72.36        100.1              12.66
23400      33.43          -45.12           -72.45        101.9              12.82
23410      33.38          -45.16           -72.49        102.2              12.91
23420      33.33          -45.22           -72.55        105.7              12.96
23430      33.28          -45.27           -72.63        111.2              12.70
23440      33.23          -45.22           -72.63        106.5              12.32
23450      33.18          -45.17           -72.63        101.6              11.93
23460      33.13          -45.12           -72.64        96.7               11.54
23470      33.08          -45.07           -72.64        91.8               11.15
23480      33.03          -44.94           -72.56        107.1              10.59
23490      32.98          -44.87           -72.52        116.0              10.15
23500      32.94          -44.85           -72.50        117.3              10.20
23510      32.89          -44.84           -72.49        118.6              10.26
23520      32.84          -44.82           -72.47        119.8              10.31
23530      32.79          -44.80           -72.46        121.1              10.37
23540      32.74          -44.78           -72.46        120.9              10.25
23550      32.69          -44.78           -72.47        118.6              9.89
23560      32.64          -44.77           -72.48        116.3              9.53
23570      32.59          -44.77           -72.49        114.0              9.17
23580      32.55          -44.76           -72.50        111.7              8.80
23590      32.50          -44.76           -72.51        109.4              8.44
23600      32.45          -44.75           -72.52        107.1              8.08
23610      32.40          -44.75           -72.53        104.8              7.72
23620      32.35          -44.74           -72.55        102.5              7.35
23630      32.30          -44.73           -72.55        100.6              6.99
23640      32.26          -44.68           -72.53        109.5              6.71
23650      32.21          -44.69           -72.55        110.5              6.63
23660      32.16          -44.69           -72.58        111.6              6.55
23670      32.11          -44.70           -72.60        112.6              6.47
23680      32.07          -44.71           -72.63        113.7              6.39
23690      32.02          -44.72           -72.65        114.7              6.31
23700      31.97          -44.72           -72.68        115.7              6.23
23710      31.92          -44.73           -72.70        116.6              5.99
23720      31.88          -44.70           -72.67        115.6              5.60
23730      31.83          -44.65           -72.63        113.8              5.27
23740      31.78          -44.59           -72.59        111.7              4.85
23750      31.73          -44.49           -72.52        109.8              4.44
23760      31.69          -44.48           -72.52        109.7              4.35
23770      31.64          -44.51           -72.55        109.1              4.38
23780      31.59          -44.53           -72.57        108.4              4.41
23790      31.55          -44.56           -72.60        107.7              4.44
23800      31.50          -44.58           -72.63        107.0              4.47
23810      31.45          -44.61           -72.66        106.3              4.50
23820      31.41          -44.63           -72.69        105.7              4.86
23830      31.36          -44.66           -72.71        105.0              4.94
23840      31.31          -44.69           -72.74        104.3              5.02
23850      31.27          -44.71           -72.77        103.6              5.10
23860      31.22          -44.74           -72.80        102.9              5.18
23870      31.17          -44.76           -72.82        102.2              5.26
23880      31.13          -44.79           -72.85        101.6              5.34
23890      31.08          -44.81           -72.88        100.9              5.42
23900      31.03          -44.84           -72.91        100.2              5.50
23910      30.99          -44.86           -72.93        99.5               5.58
23920      30.94          -44.82           -72.93        98.4               6.09
23930      30.90          -44.75           -72.93        97.3               6.71
23940      30.85          -44.69           -72.92        96.1               7.32
23950      30.80          -44.64           -72.92        95.3               7.88
23960      30.76          -44.70           -72.97        95.4               8.07
23970      30.71          -44.77           -73.02        92.5               8.84
23980      30.67          -44.85           -73.07        89.5               9.60
23990      30.62          -44.92           -73.16        87.1               10.40
24000      30.58          -44.98           -73.31        85.4               11.26
24010      30.53          -45.05           -73.46        83.7               12.12
24020      30.49          -44.96           -73.46        87.0               12.64
24030      30.44          -44.89           -73.41        88.1               12.52
24040      30.39          -44.85           -73.38        87.7               12.43
24050      30.35          -44.81           -73.35        87.2               12.33
24060      30.30          -44.77           -73.32        86.8               12.23
24070      30.26          -44.73           -73.30        86.3               12.13
24080      30.21          -44.70           -73.27        85.9               12.03
24090      30.17          -44.65           -73.23        87.8               11.77
24100      30.12          -44.60           -73.20        92.6               11.28
24110      30.08          -44.56           -73.17        94.8               10.98
24120      30.04          -44.49           -73.12        96.6               10.75
24130      29.99          -44.43           -73.08        98.4               10.51
24140      29.95          -44.32           -73.00        102.8              10.10
24150      29.90          -44.26           -72.96        104.4              9.95
24160      29.86          -44.20           -72.94        105.0              9.88
24170      29.81          -44.15           -72.92        105.6              9.81
24180      29.77          -44.09           -72.89        106.2              9.73
24190      29.73          -44.04           -72.87        106.8              9.66
24200      29.68          -43.99           -72.85        107.5              9.59
24210      29.64          -43.93           -72.82        108.1              9.52
24220      29.59          -43.88           -72.80        108.7              9.45
24230      29.55          -43.83           -72.78        109.3              9.38
24240      29.51          -43.77           -72.75        109.9              9.30
24250      29.46          -43.72           -72.73        110.5              9.23
24260      29.42          -43.67           -72.71        111.1              9.16
24270      29.37          -43.61           -72.68        111.7              9.09
24280      29.33          -43.56           -72.66        112.3              9.02
24290      29.29          -43.51           -72.64        112.9              8.95
24300      29.24          -43.45           -72.62        113.5              8.87
24310      29.20          -43.40           -72.59        114.1              8.80
24320      29.16          -43.35           -72.57        114.7              8.73
24330      29.12          -43.29           -72.55        115.4              8.66
24340      29.07          -43.24           -72.53        116.0              8.59
24350      29.03          -43.18           -72.50        116.6              8.52
24360      28.99          -43.12           -72.48        114.1              8.82
24370      28.94          -43.06           -72.46        110.8              9.23
24380      28.90          -43.00           -72.44        107.4              9.64
24390      28.86          -42.94           -72.42        104.1              10.05
24400      28.82          -42.87           -72.40        100.8              10.46
24410      28.77          -42.81           -72.38        97.5               10.87
24420      28.73          -42.75           -72.36        94.1               11.28
24430      28.69          -42.64           -72.30        110.3              11.37
24440      28.65          -42.54           -72.28        102.9              11.09
24450      28.60          -42.43           -72.26        95.5               10.81
24460      28.56          -42.33           -72.24        88.1               10.53
24470      28.52          -42.23           -72.17        96.7               10.18
24480      28.48          -42.18           -72.13        105.6              9.78
24490      28.44          -42.11           -72.08        105.7              9.56
24500      28.39          -42.01           -72.01        100.6              9.31
24510      28.35          -41.90           -71.93        95.5               9.07
24520      28.31          -41.79           -71.85        91.9               8.85
24530      28.27          -41.74           -71.82        97.1               8.78
24540      28.23          -41.72           -71.80        100.4              8.87
24550      28.19          -41.73           -71.81        97.7               9.41
24560      28.15          -41.74           -71.82        96.0               9.75
24570      28.10          -41.71           -71.82        96.0               9.76
24580      28.06          -41.69           -71.82        96.0               9.77
24590      28.02          -41.66           -71.83        96.1               9.78
24600      27.98          -41.64           -71.83        96.1               9.79
24610      27.94          -41.62           -71.83        96.1               9.79
24620      27.90          -41.59           -71.83        96.1               9.80
24630      27.86          -41.57           -71.84        96.1               9.81
24640      27.82          -41.54           -71.84        96.2               9.82
24650      27.78          -41.52           -71.84        96.2               9.83
24660      27.73          -41.50           -71.84        96.2               9.83
24670      27.69          -41.47           -71.84        96.2               9.84
24680      27.65          -41.45           -71.85        96.2               9.85
24690      27.61          -41.43           -71.85        96.3               9.86
24700      27.57          -41.40           -71.85        96.3               9.87
24710      27.53          -41.38           -71.85        96.3               9.87
24720      27.49          -41.35           -71.86        96.3               9.88
24730      27.45          -41.33           -71.86        96.3               9.89
24740      27.41          -41.31           -71.86        96.4               9.90
24750      27.37          -41.28           -71.87        96.4               9.91
24760      27.33          -41.26           -71.87        96.4               9.91
24770      27.29          -41.23           -71.87        96.4               9.92
24780      27.25          -41.21           -71.88        96.4               9.93
24790      27.21          -41.19           -71.88        96.5               9.94
24800      27.17          -41.16           -71.88        96.5               9.95
24810      27.13          -41.14           -71.88        96.5               9.95
24820      27.09          -41.12           -71.89        96.5               9.96
24830      27.05          -41.09           -71.89        96.5               9.97
24840      27.01          -41.07           -71.90        96.6               9.98
24850      26.97          -41.04           -71.90        96.6               9.99
24860      26.93          -41.02           -71.90        96.6               9.99
24870      26.89          -41.00           -71.91        96.6               10.00
24880      26.85          -40.97           -71.91        96.6               10.01
24890      26.82          -40.95           -71.91        96.7               10.02
24900      26.78          -40.93           -71.92        96.7               10.03
24910      26.74          -40.90           -71.92        96.7               10.03
24920      26.70          -40.88           -71.93        96.7               10.04
24930      26.66          -40.85           -71.93        96.7               10.05
24940      26.62          -40.83           -71.93        96.8               10.06
24950      26.58          -40.81           -71.94        96.8               10.07
24960      26.54          -40.78           -71.94        96.8               10.07
24970      26.50          -40.76           -71.95        96.8               10.08
24980      26.46          -40.73           -71.95        96.8               10.09
24990      26.43          -40.71           -71.96        96.9               10.10
25000      26.39          -40.69           -71.96        96.9               10.11
25010      26.35          -40.66           -71.96        96.9               10.11
25020      26.31          -40.64           -71.97        96.9               10.12
25030      26.27          -40.62           -71.97        96.9               10.13
25040      26.23          -40.59           -71.98        96.9               10.14
25050      26.20          -40.57           -71.98        97.0               10.15
25060      26.16          -40.54           -71.99        97.0               10.15
25070      26.12          -40.52           -71.99        97.0               10.16
25080      26.08          -40.50           -72.00        97.0               10.17
25090      26.04          -40.47           -72.00        97.0               10.18
25100      26.00          -40.45           -72.01        97.1               10.19
25110      25.97          -40.42           -72.02        97.1               10.19
25120      25.93          -40.41           -72.03        97.0               10.28
25130      25.89          -40.42           -72.07        96.7               10.55
25140      25.85          -40.43           -72.10        96.3               10.81
25150      25.82          -40.45           -72.14        96.0               11.08
25160      25.78          -40.46           -72.18        95.6               11.35
25170      25.74          -40.47           -72.22        95.3               11.42
25180      25.70          -40.48           -72.25        95.0               11.65
25190      25.67          -40.49           -72.29        94.6               11.88
25200      25.63          -40.51           -72.33        94.3               12.11
25210      25.59          -40.52           -72.37        93.9               12.34
25220      25.55          -40.53           -72.41        93.6               12.57
25230      25.52          -40.54           -72.44        93.3               12.80
25240      25.48          -40.55           -72.48        92.9               13.03
25250      25.44          -40.57           -72.52        92.6               13.26
25260      25.40          -40.58           -72.56        92.2               13.49
25270      25.37          -40.64           -72.61        89.0               13.31
25280      25.33          -40.71           -72.66        85.4               13.07
25290      25.29          -40.78           -72.70        81.8               12.83
25300      25.26          -40.84           -72.75        79.4               12.64
25310      25.22          -40.85           -72.75        83.9               12.76
25320      25.18          -40.85           -72.75        87.8               12.89
25330      25.14          -40.85           -72.75        92.3               13.03
25340      25.11          -40.85           -72.75        97.2               13.17
25350      25.07          -40.86           -72.76        98.7               13.34
25360      25.04          -40.87           -72.77        98.3               13.53
25370      25.00          -40.77           -72.72        98.3               13.66
25380      24.96          -40.58           -72.62        98.6               13.77
25390      24.93          -40.40           -72.52        99.0               13.87
25400      24.89          -40.21           -72.43        99.3               13.98
25410      24.85          -40.03           -72.33        99.7               14.08
25420      24.82          -39.85           -72.24        100.0              14.18
25430      24.78          -39.66           -72.15        100.4              14.29
25440      24.74          -39.59           -72.10        104.7              14.62
25450      24.71          -39.47           -72.02        106.4              14.68
25460      24.67          -39.35           -71.93        107.6              14.77
25470      24.64          -39.23           -71.85        108.9              14.86
25480      24.60          -39.12           -71.78        110.1              14.95
25490      24.57          -39.14           -71.79        111.4              15.11
25500      24.53          -39.16           -71.81        112.5              15.38
25510      24.49          -39.17           -71.83        112.3              15.31
25520      24.46          -39.17           -71.85        112.1              15.24
25530      24.42          -39.18           -71.87        111.9              15.18
25540      24.39          -39.19           -71.90        111.7              15.11
25550      24.35          -39.20           -71.92        111.4              15.04
25560      24.32          -39.20           -71.94        111.2              14.97
25570      24.28          -39.21           -71.97        111.0              14.90
25580      24.25          -39.22           -71.99        110.8              14.83
25590      24.21          -39.23           -72.01        110.5              14.76
25600      24.18          -39.23           -72.03        110.3              14.69
25610      24.14          -39.24           -72.06        110.1              14.63
25620      24.11          -39.25           -72.08        109.9              14.56
25630      24.07          -39.26           -72.10        109.7              14.49
25640      24.04          -39.26           -72.13        109.4              14.42
25650      24.00          -39.27           -72.15        109.2              14.35
25660      23.97          -39.28           -72.17        109.0              14.28
25670      23.93          -39.29           -72.20        108.8              14.21
25680      23.90          -39.29           -72.22        108.6              14.15
25690      23.86          -39.30           -72.24        108.3              14.08
25700      23.83          -39.31           -72.27        108.1              14.01
25710      23.79          -39.32           -72.29        107.9              13.94
25720      23.76          -39.32           -72.31        107.7              13.87
25730      23.72          -39.33           -72.34        107.5              13.80
25740      23.69          -39.34           -72.36        107.2              13.73
25750      23.66          -39.35           -72.38        107.0              13.67
25760      23.62          -39.36           -72.41        106.8              13.60
25770      23.59          -39.36           -72.43        106.6              13.53
25780      23.55          -39.37           -72.46        106.3              13.46
25790      23.52          -39.38           -72.48        106.1              13.39
25800      23.48          -39.39           -72.50        105.9              13.32
25810      23.45          -39.39           -72.53        105.7              13.25
25820      23.42          -39.40           -72.55        105.5              13.18
25830      23.38          -39.41           -72.57        105.2              13.12
25840      23.35          -39.42           -72.60        105.0              13.05
25850      23.31          -39.42           -72.62        104.8              12.98
25860      23.28          -39.43           -72.65        104.6              12.91
25870      23.25          -39.44           -72.67        104.4              12.84
25880      23.21          -39.45           -72.70        104.1              12.77
25890      23.18          -39.45           -72.72        103.9              12.70
25900      23.15          -39.46           -72.74        103.7              12.64
25910      23.11          -39.47           -72.77        103.5              12.57
25920      23.08          -39.48           -72.79        103.3              12.50
25930      23.05          -39.48           -72.82        103.0              12.64
25940      23.01          -39.49           -72.84        102.8              12.58
25950      22.98          -39.50           -72.87        102.6              12.51
25960      22.95          -39.51           -72.89        102.4              12.45
25970      22.91          -39.51           -72.92        102.1              12.38
25980      22.88          -39.52           -72.94        101.9              12.32
25990      22.85          -39.53           -72.96        101.7              12.26
26000      22.81          -39.54           -72.99        101.5              12.19
26010      22.78          -39.54           -73.01        101.3              12.13
26020      22.75          -39.55           -73.04        101.0              12.07
26030      22.72          -39.38           -73.01        106.8              12.18
26040      22.68          -39.18           -72.97        113.8              12.33
26050      22.65          -39.05           -72.92        116.0              12.42
26060      22.62          -38.93           -72.87        118.0              12.52
26070      22.58          -38.80           -72.79        120.2              12.65
26080      22.55          -38.69           -72.72        122.8              12.81
26090      22.52          -38.60           -72.66        125.5              12.98
26100      22.49          -38.52           -72.60        128.3              13.16
26110      22.45          -38.49           -72.61        127.0              13.28
26120      22.42          -38.47           -72.62        124.8              13.38
26130      22.39          -38.46           -72.64        122.7              13.49
26140      22.36          -38.44           -72.66        120.5              13.60
26150      22.32          -38.42           -72.68        118.3              13.71
26160      22.29          -38.41           -72.70        116.1              13.82
26170      22.26          -38.39           -72.72        114.0              13.92
26180      22.23          -38.37           -72.73        111.8              14.03
26190      22.19          -38.31           -72.78        110.5              13.85
26200      22.16          -38.28           -72.81        108.5              13.92
26210      22.13          -38.26           -72.83        106.4              14.00
26220      22.10          -38.24           -72.85        104.3              14.07
26230      22.07          -38.22           -72.88        102.3              14.15
26240      22.03          -38.19           -72.90        100.2              14.22
26250      22.00          -38.17           -72.92        98.1               14.29
26260      21.97          -38.15           -72.95        96.0               14.37
26270      21.94          -38.13           -72.97        94.0               14.44
26280      21.91          -38.10           -73.00        91.9               14.52
26290      21.88          -38.07           -73.02        90.7               14.56
26300      21.84          -37.96           -73.02        94.9               14.43
26310      21.81          -37.89           -72.98        98.6               14.45
26320      21.78          -37.85           -72.90        102.2              14.41
26330      21.75          -37.80           -72.81        106.5              14.32
26340      21.72          -37.75           -72.73        110.8              14.24
26350      21.69          -37.76           -72.70        111.9              14.13
26360      21.66          -37.79           -72.69        112.4              14.01
26370      21.62          -37.81           -72.69        112.7              13.91
26380      21.59          -37.85           -72.71        110.9              14.09
26390      21.56          -37.89           -72.74        109.1              14.26
26400      21.53          -37.92           -72.78        107.0              14.39
26410      21.50          -37.92           -72.85        104.1              14.41
26420      21.47          -37.93           -72.92        101.3              14.43
26430      21.44          -37.94           -72.99        98.4               14.45
26440      21.41          -37.95           -73.06        95.6               14.47
26450      21.38          -37.95           -73.08        93.4               14.54
26460      21.35          -37.94           -73.08        95.8               14.39
26470      21.31          -37.94           -73.08        99.8               14.43
26480      21.28          -37.94           -73.07        103.9              14.66
26490      21.25          -37.93           -73.07        107.7              14.96
26500      21.22          -37.88           -73.07        108.1              15.08
26510      21.19          -37.83           -73.09        108.1              15.39
26520      21.16          -37.78           -73.12        108.3              15.57
26530      21.13          -37.73           -73.17        109.5              15.69
26540      21.10          -37.67           -73.17        110.6              15.62
26550      21.07          -37.60           -73.14        112.0              15.47
26560      21.04          -37.53           -73.10        113.3              15.33
26570      21.01          -37.48           -73.08        113.8              15.05
26580      20.98          -37.52           -73.10        109.3              14.07
26590      20.95          -37.56           -73.13        104.3              13.55
26600      20.92          -37.63           -73.18        98.4               13.84
26610      20.89          -37.66           -73.21        95.0               14.01
26620      20.86          -37.61           -73.20        95.4               13.99
26630      20.83          -37.57           -73.19        95.8               13.97
26640      20.80          -37.52           -73.18        96.2               13.96
26650      20.77          -37.48           -73.18        96.7               13.94
26660      20.74          -37.43           -73.17        97.1               13.92
26670      20.71          -37.39           -73.16        97.5               13.90
26680      20.68          -37.34           -73.16        97.9               13.88
26690      20.65          -37.30           -73.15        98.4               13.86
26700      20.62          -37.25           -73.14        98.8               13.84
26710      20.59          -37.20           -73.13        99.2               13.82
26720      20.56          -37.16           -73.13        99.7               13.80
26730      20.53          -37.11           -73.12        100.1              13.78
26740      20.50          -37.07           -73.11        100.5              13.76
26750      20.47          -37.03           -73.12        101.1              13.75
26760      20.44          -37.01           -73.14        102.3              13.76
26770      20.41          -36.99           -73.16        103.4              13.76
26780      20.38          -36.97           -73.18        104.5              13.77
26790      20.35          -36.94           -73.20        105.6              13.78
26800      20.32          -36.92           -73.22        106.8              13.78
26810      20.30          -36.90           -73.24        107.9              13.79
26820      20.27          -36.88           -73.27        109.0              13.79
26830      20.24          -36.86           -73.29        110.1              13.80
26840      20.21          -36.84           -73.31        111.3              13.81
26850      20.18          -36.92           -73.38        113.5              14.09
26860      20.15          -37.05           -73.46        116.2              14.48
26870      20.12          -37.15           -73.53        117.7              14.71
26880      20.09          -37.17           -73.55        118.0              14.68
26890      20.06          -37.19           -73.56        118.2              14.65
26900      20.03          -37.21           -73.57        118.4              14.62
26910      20.01          -37.23           -73.59        118.7              14.59
26920      19.98          -37.25           -73.60        118.9              14.55
26930      19.95          -37.27           -73.61        119.1              14.52
26940      19.92          -37.29           -73.63        119.3              14.49
26950      19.89          -37.31           -73.64        119.6              14.45
26960      19.86          -37.32           -73.64        116.9              14.01
26970      19.83          -37.32           -73.64        112.9              13.06
26980      19.81          -37.06           -73.57        107.2              12.03
26990      19.78          -36.81           -73.50        102.9              11.48
27000      19.75          -36.56           -73.42        98.6               10.93
27010      19.72          -36.38           -73.38        96.3               10.63
27020      19.69          -36.28           -73.32        96.4               10.17
27030      19.66          -36.20           -73.27        96.8               9.87
27040      19.64          -36.10           -73.19        97.5               9.68
27050      19.61          -35.99           -73.13        99.4               9.52
27060      19.58          -35.90           -73.06        102.6              9.41
27070      19.55          -35.89           -73.06        103.9              10.06
27080      19.52          -35.89           -73.06        105.2              10.72
27090      19.50          -35.88           -73.05        106.5              11.37
27100      19.47          -35.87           -73.05        107.8              12.03
27110      19.44          -35.87           -73.04        109.2              12.68
27120      19.41          -35.90           -73.06        106.6              12.32
27130      19.38          -35.94           -73.09        102.6              11.76
27140      19.36          -35.97           -73.13        99.2               11.38
27150      19.33          -35.94           -73.21        102.4              11.33
27160      19.30          -35.90           -73.29        105.7              11.27
27170      19.27          -35.87           -73.38        108.9              11.22
27180      19.25          -35.84           -73.41        104.9              11.20
27190      19.22          -35.80           -73.38        104.6              11.88
27200      19.19          -35.75           -73.35        106.8              12.47
27210      19.16          -35.70           -73.32        109.1              13.07
27220      19.14          -35.66           -73.30        110.8              13.71
27230      19.11          -35.69           -73.32        107.4              14.69
27240      19.08          -35.78           -73.53        107.1              15.05
27250      19.05          -35.87           -73.69        107.2              15.19
27260      19.03          -35.96           -73.84        107.4              15.31
27270      19.00          -36.00           -73.89        108.3              15.39
27280      18.97          -36.09           -73.98        108.4              15.24
27290      18.94          -36.17           -73.98        108.9              15.06
27300      18.92          -36.22           -73.93        111.1              14.81
27310      18.89          -36.28           -73.88        113.3              14.57
27320      18.86          -36.34           -73.83        115.5              14.32
27330      18.83          -36.40           -73.78        117.7              14.08
27340      18.81          -36.51           -73.89        110.7              14.28
27350      18.78          -36.66           -74.11        112.3              13.98
27360      18.75          -36.82           -74.32        113.9              13.67
27370      18.73          -36.97           -74.53        115.6              13.37
27380      18.70          -37.02           -74.59        116.5              13.08
27390      18.67          -37.03           -74.60        117.2              12.79
27400      18.65          -37.05           -74.61        115.1              12.72
27410      18.62          -37.07           -74.62        112.5              12.70
27420      18.59          -37.10           -74.64        108.0              12.77
27430      18.57          -37.13           -74.66        103.0              12.87
27440      18.54          -37.11           -74.65        104.3              12.99
27450      18.51          -37.06           -74.62        107.2              13.12
27460      18.49          -37.02           -74.59        110.1              13.25
27470      18.46          -36.99           -74.57        112.1              13.36
27480      18.43          -37.01           -74.59        111.7              13.43
27490      18.41          -37.00           -74.65        110.5              13.50
27500      18.38          -36.97           -74.73        108.7              13.51
27510      18.35          -36.94           -74.82        106.7              13.51
27520      18.33          -36.92           -74.87        104.4              13.47
27530      18.30          -36.91           -74.91        101.9              13.43
27540      18.27          -36.90           -74.93        99.0               13.48
27550      18.25          -36.87           -74.92        94.4               13.86
